route,seed,module,vertex_index,x,y,rotation,anchor_x,anchor_y,bbox_min_x,bbox_min_y,module_area,W,H,status,legal,formal_audit_match,area,evidence_role,code_hash,layout_path
exact,,b1,0,1,2,0,0,2,0,0,12.0,4,6,optimal,True,True,24,exact primary evidence,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/exact/result.json
exact,,b1,1,3,2,0,0,2,0,0,12.0,4,6,optimal,True,True,24,exact primary evidence,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/exact/result.json
exact,,b1,2,3,4,0,0,2,0,0,12.0,4,6,optimal,True,True,24,exact primary evidence,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/exact/result.json
exact,,b1,3,4,4,0,0,2,0,0,12.0,4,6,optimal,True,True,24,exact primary evidence,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/exact/result.json
exact,,b1,4,4,6,0,0,2,0,0,12.0,4,6,optimal,True,True,24,exact primary evidence,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/exact/result.json
exact,,b1,5,0,6,0,0,2,0,0,12.0,4,6,optimal,True,True,24,exact primary evidence,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/exact/result.json
exact,,b1,6,0,4,0,0,2,0,0,12.0,4,6,optimal,True,True,24,exact primary evidence,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/exact/result.json
exact,,b1,7,1,4,0,0,2,0,0,12.0,4,6,optimal,True,True,24,exact primary evidence,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/exact/result.json
exact,,b2,0,0,0,0,0,0,0,0,6.0,4,6,optimal,True,True,24,exact primary evidence,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/exact/result.json
exact,,b2,1,2,0,0,0,0,0,0,6.0,4,6,optimal,True,True,24,exact primary evidence,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/exact/result.json
exact,,b2,2,2,2,0,0,0,0,0,6.0,4,6,optimal,True,True,24,exact primary evidence,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/exact/result.json
exact,,b2,3,1,2,0,0,0,0,0,6.0,4,6,optimal,True,True,24,exact primary evidence,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/exact/result.json
exact,,b2,4,1,4,0,0,0,0,0,6.0,4,6,optimal,True,True,24,exact primary evidence,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/exact/result.json
exact,,b2,5,0,4,0,0,0,0,0,6.0,4,6,optimal,True,True,24,exact primary evidence,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/exact/result.json
exact,,b3,0,3,0,90,2,0,0,0,2.0,4,6,optimal,True,True,24,exact primary evidence,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/exact/result.json
exact,,b3,1,3,2,90,2,0,0,0,2.0,4,6,optimal,True,True,24,exact primary evidence,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/exact/result.json
exact,,b3,2,2,2,90,2,0,0,0,2.0,4,6,optimal,True,True,24,exact primary evidence,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/exact/result.json
exact,,b3,3,2,0,90,2,0,0,0,2.0,4,6,optimal,True,True,24,exact primary evidence,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/exact/result.json
exact,,b4,0,3,0,0,3,0,0,0,4.0,4,6,optimal,True,True,24,exact primary evidence,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/exact/result.json
exact,,b4,1,4,0,0,3,0,0,0,4.0,4,6,optimal,True,True,24,exact primary evidence,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/exact/result.json
exact,,b4,2,4,4,0,3,0,0,0,4.0,4,6,optimal,True,True,24,exact primary evidence,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/exact/result.json
exact,,b4,3,3,4,0,3,0,0,0,4.0,4,6,optimal,True,True,24,exact primary evidence,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/exact/result.json
sa,1108,b1,0,3,4,180,1,3,1,3,12.0,6,4,success,True,True,24,SA matched optimum; no optimality proof,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/sa/seed_1108.json
sa,1108,b1,1,1,4,180,1,3,1,3,12.0,6,4,success,True,True,24,SA matched optimum; no optimality proof,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/sa/seed_1108.json
sa,1108,b1,2,1,2,180,1,3,1,3,12.0,6,4,success,True,True,24,SA matched optimum; no optimality proof,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/sa/seed_1108.json
sa,1108,b1,3,0,2,180,1,3,1,3,12.0,6,4,success,True,True,24,SA matched optimum; no optimality proof,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/sa/seed_1108.json
sa,1108,b1,4,0,0,180,1,3,1,3,12.0,6,4,success,True,True,24,SA matched optimum; no optimality proof,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/sa/seed_1108.json
sa,1108,b1,5,4,0,180,1,3,1,3,12.0,6,4,success,True,True,24,SA matched optimum; no optimality proof,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/sa/seed_1108.json
sa,1108,b1,6,4,2,180,1,3,1,3,12.0,6,4,success,True,True,24,SA matched optimum; no optimality proof,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/sa/seed_1108.json
sa,1108,b1,7,3,2,180,1,3,1,3,12.0,6,4,success,True,True,24,SA matched optimum; no optimality proof,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/sa/seed_1108.json
sa,1108,b2,0,5,4,180,4,3,1,3,6.0,6,4,success,True,True,24,SA matched optimum; no optimality proof,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/sa/seed_1108.json
sa,1108,b2,1,3,4,180,4,3,1,3,6.0,6,4,success,True,True,24,SA matched optimum; no optimality proof,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/sa/seed_1108.json
sa,1108,b2,2,3,2,180,4,3,1,3,6.0,6,4,success,True,True,24,SA matched optimum; no optimality proof,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/sa/seed_1108.json
sa,1108,b2,3,4,2,180,4,3,1,3,6.0,6,4,success,True,True,24,SA matched optimum; no optimality proof,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/sa/seed_1108.json
sa,1108,b2,4,4,0,180,4,3,1,3,6.0,6,4,success,True,True,24,SA matched optimum; no optimality proof,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/sa/seed_1108.json
sa,1108,b2,5,5,0,180,4,3,1,3,6.0,6,4,success,True,True,24,SA matched optimum; no optimality proof,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/sa/seed_1108.json
sa,1108,b3,0,0,4,270,1,5,1,3,2.0,6,4,success,True,True,24,SA matched optimum; no optimality proof,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/sa/seed_1108.json
sa,1108,b3,1,0,2,270,1,5,1,3,2.0,6,4,success,True,True,24,SA matched optimum; no optimality proof,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/sa/seed_1108.json
sa,1108,b3,2,1,2,270,1,5,1,3,2.0,6,4,success,True,True,24,SA matched optimum; no optimality proof,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/sa/seed_1108.json
sa,1108,b3,3,1,4,270,1,5,1,3,2.0,6,4,success,True,True,24,SA matched optimum; no optimality proof,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,outputs/q4/_runtime/v2/sa/seed_1108.json
